user_id,product,signup_date,plan_type,country,platform,signup_source,ab_variant,segment,activated,d7_retained,d30_retained
u_000061,Gemini,2026-01-07,pro,DE,android,direct,treatment,task_triager,True,False,False
u_000062,Claude,2025-12-13,pro,US,web,organic_search,treatment,task_triager,True,False,False
u_000063,ChatGPT,2026-02-21,free,AU,ios,app_store,control,power_user,True,True,True
u_000064,Grok,2026-01-08,free,CA,android,social_media,treatment,casual_explorer,True,True,False
u_000065,ChatGPT,2026-01-22,free,GB,web,social_media,treatment,casual_explorer,True,False,False
u_000066,ChatGPT,2026-02-12,pro,DE,web,social_media,treatment,casual_explorer,True,True,False
u_000067,Claude,2026-01-08,free,US,web,referral,treatment,casual_explorer,True,False,False
u_000068,ChatGPT,2025-11-24,free,BR,web,social_media,treatment,casual_explorer,True,True,False
u_000069,ChatGPT,2026-02-25,free,US,ios,social_media,treatment,task_triager,False,False,False
u_000070,Grok,2026-03-10,free,DE,android,social_media,treatment,power_user,False,False,False
u_000071,ChatGPT,2026-01-25,free,IN,ios,organic_search,control,casual_explorer,True,False,False
u_000072,Gemini,2026-02-06,free,FR,android,social_media,treatment,task_triager,True,True,False
u_000073,ChatGPT,2026-02-25,free,CA,web,referral,treatment,power_user,False,False,False
u_000074,ChatGPT,2025-11-21,pro,CA,android,organic_search,control,task_triager,True,False,False
u_000075,Claude,2026-01-13,team,US,ios,paid_ad,control,casual_explorer,True,False,False
u_000076,Claude,2025-11-15,free,IN,android,referral,treatment,casual_explorer,True,False,False
u_000077,ChatGPT,2026-03-30,free,DE,web,social_media,control,casual_explorer,True,False,False
u_000078,ChatGPT,2026-03-31,free,IN,web,social_media,control,task_triager,True,False,False
u_000079,ChatGPT,2026-01-15,free,NG,android,direct,control,casual_explorer,False,False,False
u_000080,Gemini,2026-01-13,free,CA,ios,organic_search,control,task_triager,True,False,False
u_000081,Claude,2025-11-11,free,IN,web,app_store,treatment,casual_explorer,True,True,False
u_000082,ChatGPT,2026-01-09,pro,BR,web,organic_search,control,task_triager,False,False,False
u_000083,Grok,2025-12-07,free,IN,web,organic_search,treatment,task_triager,True,False,False
u_000084,Claude,2026-02-03,free,IN,web,paid_ad,treatment,casual_explorer,False,False,False
u_000085,ChatGPT,2025-12-27,free,NG,web,organic_search,treatment,casual_explorer,True,True,True
u_000086,ChatGPT,2026-02-08,free,US,web,social_media,treatment,task_triager,True,False,False
u_000087,ChatGPT,2026-01-11,free,DE,web,app_store,treatment,casual_explorer,False,False,False
u_000088,ChatGPT,2026-02-10,free,IN,web,app_store,treatment,task_triager,True,True,False
u_000089,Gemini,2025-12-23,free,IN,android,organic_search,control,casual_explorer,False,False,False
u_000090,Gemini,2025-12-08,team,IN,web,direct,control,task_triager,False,False,False
u_000091,ChatGPT,2025-11-05,free,CA,web,organic_search,treatment,power_user,True,False,False
u_000092,ChatGPT,2025-11-12,free,US,web,direct,control,task_triager,True,True,False
u_000093,ChatGPT,2025-11-21,free,GB,web,social_media,control,power_user,True,True,False
u_000094,ChatGPT,2025-11-30,pro,IN,web,social_media,treatment,task_triager,True,False,False
u_000095,ChatGPT,2025-11-25,free,IN,web,direct,treatment,casual_explorer,True,False,False
u_000096,ChatGPT,2025-12-04,free,FR,ios,app_store,control,casual_explorer,True,True,False
u_000097,ChatGPT,2026-01-30,free,GB,web,organic_search,control,casual_explorer,False,False,False
u_000098,ChatGPT,2026-02-18,pro,AU,web,organic_search,treatment,task_triager,True,True,False
u_000099,Gemini,2026-01-19,pro,NG,web,referral,control,casual_explorer,True,True,False
u_000100,ChatGPT,2026-02-25,free,DE,ios,organic_search,treatment,task_triager,True,True,True
u_000101,Gemini,2026-03-05,free,US,web,organic_search,treatment,casual_explorer,True,True,False
u_000102,Grok,2025-11-15,free,IN,web,direct,control,casual_explorer,True,True,True
u_000103,ChatGPT,2026-01-30,free,GB,ios,direct,control,casual_explorer,False,False,False
u_000104,ChatGPT,2025-11-30,free,US,web,social_media,treatment,casual_explorer,True,False,False
u_000105,ChatGPT,2025-11-21,free,US,android,social_media,control,casual_explorer,True,False,False
u_000106,Gemini,2025-12-08,free,IN,ios,social_media,treatment,casual_explorer,False,False,False
u_000107,Gemini,2026-03-29,free,IN,web,social_media,treatment,casual_explorer,True,False,False
u_000108,ChatGPT,2026-01-10,free,NG,web,referral,control,casual_explorer,True,True,False
u_000109,ChatGPT,2026-03-29,free,US,web,organic_search,control,task_triager,False,False,False
u_000110,Claude,2025-11-27,pro,NG,web,referral,control,task_triager,True,True,False
u_000111,ChatGPT,2026-01-12,free,GB,web,organic_search,control,task_triager,True,False,False
u_000112,Gemini,2025-12-09,free,US,ios,paid_ad,control,casual_explorer,False,False,False
u_000113,ChatGPT,2026-02-05,free,FR,web,referral,treatment,casual_explorer,False,False,False
u_000114,ChatGPT,2025-11-05,free,IN,web,organic_search,control,power_user,False,False,False
u_000115,Gemini,2025-11-26,free,GB,web,organic_search,treatment,task_triager,True,False,False
u_000116,Gemini,2025-12-13,free,GB,ios,direct,control,power_user,False,False,False
u_000117,ChatGPT,2026-01-01,free,US,web,social_media,treatment,casual_explorer,True,False,False
u_000118,ChatGPT,2025-12-12,pro,GB,web,direct,control,casual_explorer,True,False,False
u_000119,Gemini,2026-01-12,free,FR,ios,paid_ad,treatment,casual_explorer,False,False,False
u_000120,Grok,2026-02-15,free,DE,ios,organic_search,treatment,casual_explorer,True,True,False
u_000121,ChatGPT,2026-03-01,free,AU,web,direct,treatment,power_user,True,True,True
u_000122,ChatGPT,2025-11-29,free,AU,web,referral,control,casual_explorer,True,False,False
u_000123,Gemini,2026-03-28,free,IN,android,organic_search,treatment,casual_explorer,True,False,False
u_000124,ChatGPT,2026-03-10,pro,BR,web,organic_search,treatment,casual_explorer,True,True,False
u_000125,ChatGPT,2025-11-27,free,CA,web,referral,control,casual_explorer,True,False,False
u_000126,Gemini,2025-12-05,free,US,android,referral,control,casual_explorer,True,True,True
u_000127,ChatGPT,2025-12-19,free,US,web,app_store,treatment,casual_explorer,True,False,False
u_000128,ChatGPT,2025-12-18,free,IN,ios,direct,treatment,task_triager,False,False,False
u_000129,ChatGPT,2026-01-22,free,US,web,direct,control,casual_explorer,False,False,False
u_000130,Grok,2026-02-20,free,CA,ios,app_store,control,task_triager,False,False,False
u_000131,Claude,2026-02-21,free,DE,android,social_media,treatment,power_user,True,True,False
u_000132,Gemini,2026-03-27,free,IN,web,paid_ad,control,casual_explorer,False,False,False
u_000133,Claude,2026-01-06,free,IN,web,organic_search,treatment,task_triager,False,False,False
u_000134,Gemini,2025-11-23,pro,US,web,organic_search,treatment,task_triager,True,False,False
u_000135,Gemini,2025-12-15,pro,IN,ios,social_media,control,casual_explorer,True,False,False
u_000136,Gemini,2026-03-22,free,US,web,referral,control,casual_explorer,False,False,False
u_000137,Claude,2026-01-21,free,DE,web,app_store,control,task_triager,False,False,False
u_000138,ChatGPT,2025-11-15,pro,IN,android,social_media,control,casual_explorer,False,False,False
u_000139,ChatGPT,2025-11-21,free,IN,android,organic_search,control,casual_explorer,True,False,False
u_000140,Gemini,2026-01-26,pro,GB,ios,direct,control,task_triager,True,False,False
u_000141,ChatGPT,2025-11-08,free,US,web,organic_search,treatment,casual_explorer,True,False,False
u_000142,ChatGPT,2026-03-04,free,US,ios,social_media,treatment,casual_explorer,True,False,False
u_000143,Claude,2026-01-01,free,FR,web,social_media,control,casual_explorer,True,True,False
u_000144,ChatGPT,2026-01-20,free,IN,web,social_media,treatment,power_user,True,False,False
u_000145,ChatGPT,2026-03-30,free,US,web,direct,control,power_user,False,False,False
u_000146,ChatGPT,2026-01-07,free,US,ios,organic_search,control,casual_explorer,True,True,False
u_000147,Grok,2025-12-01,free,US,web,referral,control,power_user,False,False,False
u_000148,ChatGPT,2025-11-11,free,US,ios,organic_search,control,power_user,True,True,False
u_000149,Grok,2026-01-16,free,US,web,social_media,control,casual_explorer,True,False,False
u_000150,ChatGPT,2025-11-07,free,US,ios,direct,treatment,task_triager,True,True,True
u_000151,ChatGPT,2026-01-02,free,CA,android,paid_ad,control,casual_explorer,True,True,False
u_000152,Gemini,2025-11-16,free,GB,web,referral,treatment,casual_explorer,True,True,False
u_000153,Gemini,2026-01-07,free,US,web,direct,treatment,casual_explorer,True,False,False
u_000154,ChatGPT,2026-01-29,free,US,web,direct,control,task_triager,True,False,False
u_000155,Claude,2025-11-11,free,GB,android,referral,control,casual_explorer,True,False,False
u_000156,Claude,2026-03-31,free,US,ios,organic_search,treatment,power_user,True,True,True
u_000157,Grok,2025-12-11,free,DE,android,organic_search,control,task_triager,True,False,False
u_000158,ChatGPT,2026-03-17,free,IN,android,direct,treatment,casual_explorer,True,False,False
u_000159,Claude,2026-01-14,pro,US,android,referral,treatment,power_user,True,False,False
u_000160,ChatGPT,2025-12-05,pro,US,web,direct,control,casual_explorer,True,False,False
u_000161,Gemini,2026-03-26,free,US,web,app_store,treatment,task_triager,True,False,False
u_000162,ChatGPT,2026-01-03,free,US,web,organic_search,control,casual_explorer,True,False,False
u_000163,Gemini,2026-02-28,free,US,ios,organic_search,treatment,casual_explorer,True,True,True
u_000164,Claude,2025-12-10,free,CA,ios,direct,treatment,casual_explorer,False,False,False
u_000165,Gemini,2025-11-21,free,IN,web,organic_search,treatment,casual_explorer,True,False,False
u_000166,Gemini,2026-02-22,free,US,web,organic_search,control,casual_explorer,True,False,False
u_000167,ChatGPT,2026-01-18,free,NG,android,organic_search,treatment,task_triager,True,True,False
u_000168,Grok,2025-11-09,free,US,android,social_media,treatment,casual_explorer,False,False,False
u_000169,Grok,2026-02-05,free,GB,web,direct,treatment,task_triager,True,False,False
u_000170,ChatGPT,2025-11-01,free,IN,web,paid_ad,treatment,casual_explorer,True,True,True
u_000171,Gemini,2025-11-09,pro,IN,ios,direct,treatment,task_triager,True,True,True
u_000172,Claude,2025-11-12,free,CA,ios,social_media,treatment,casual_explorer,True,False,False
u_000173,ChatGPT,2026-01-22,free,GB,ios,organic_search,treatment,task_triager,True,False,False
u_000174,Gemini,2026-03-23,free,US,web,social_media,treatment,task_triager,False,False,False
u_000175,Gemini,2026-03-02,free,US,web,organic_search,control,task_triager,True,True,False
u_000176,ChatGPT,2025-11-21,pro,GB,android,organic_search,treatment,casual_explorer,True,True,False
u_000177,Gemini,2026-03-24,free,IN,ios,direct,control,task_triager,False,False,False
u_000178,Gemini,2026-01-02,free,US,web,paid_ad,control,casual_explorer,True,True,False
u_000179,ChatGPT,2026-03-01,free,IN,ios,referral,control,casual_explorer,True,False,False
u_000180,Gemini,2026-01-15,free,US,ios,app_store,treatment,casual_explorer,True,False,False
u_000181,Gemini,2026-03-06,free,SG,web,direct,control,casual_explorer,True,True,False
u_000182,Claude,2025-11-13,free,DE,ios,referral,control,task_triager,True,True,False
u_000183,ChatGPT,2026-03-05,free,US,web,referral,control,casual_explorer,False,False,False
u_000184,ChatGPT,2025-12-16,free,US,web,social_media,control,power_user,True,True,False
u_000185,ChatGPT,2025-12-28,free,US,ios,direct,treatment,casual_explorer,True,True,False
u_000186,Claude,2026-02-20,free,IN,android,referral,treatment,task_triager,False,False,False
u_000187,ChatGPT,2026-01-09,free,IN,android,social_media,treatment,power_user,False,False,False
u_000188,Grok,2026-03-31,free,AU,ios,referral,treatment,task_triager,True,False,False
u_000189,ChatGPT,2025-12-06,pro,IN,ios,referral,treatment,casual_explorer,True,True,True
u_000190,ChatGPT,2026-01-23,free,DE,ios,organic_search,control,task_triager,True,False,False
u_000191,ChatGPT,2026-01-03,free,BR,web,organic_search,control,power_user,False,False,False
u_000192,Claude,2026-01-18,free,IN,web,referral,control,casual_explorer,True,False,False
u_000193,ChatGPT,2026-01-23,pro,BR,ios,app_store,control,power_user,False,False,False
u_000194,ChatGPT,2026-03-14,free,US,web,organic_search,control,casual_explorer,True,True,False
u_000195,ChatGPT,2026-03-07,free,DE,ios,social_media,control,power_user,True,False,False
u_000196,ChatGPT,2025-12-05,free,BR,ios,app_store,control,task_triager,True,False,False
u_000197,Gemini,2026-01-23,free,DE,ios,app_store,control,casual_explorer,True,False,False
u_000198,ChatGPT,2025-12-24,free,US,ios,organic_search,treatment,task_triager,False,False,False
u_000199,Gemini,2026-02-17,pro,SG,ios,referral,treatment,power_user,True,True,False
u_000200,Gemini,2026-02-01,free,GB,ios,referral,treatment,casual_explorer,True,True,False
u_000201,Gemini,2026-01-24,team,GB,ios,social_media,control,casual_explorer,True,False,False
u_000202,ChatGPT,2026-03-31,free,AU,ios,social_media,treatment,power_user,True,True,False
u_000203,ChatGPT,2025-12-23,free,IN,web,organic_search,treatment,casual_explorer,True,True,True
u_000204,Gemini,2026-01-02,free,IN,ios,social_media,control,casual_explorer,True,False,False
u_000205,Gemini,2025-12-21,free,GB,ios,referral,control,casual_explorer,True,False,False
u_000206,ChatGPT,2025-12-21,free,GB,web,direct,treatment,task_triager,True,False,False
u_000207,ChatGPT,2026-01-16,pro,IN,web,referral,control,task_triager,True,True,False
u_000208,ChatGPT,2026-02-17,free,US,web,social_media,treatment,task_triager,False,False,False
u_000209,ChatGPT,2025-11-14,pro,DE,web,social_media,control,casual_explorer,True,False,False
u_000210,Gemini,2026-02-22,free,US,web,organic_search,control,power_user,False,False,False
u_000211,ChatGPT,2026-03-07,free,US,ios,organic_search,control,power_user,False,False,False
u_000212,Gemini,2026-03-20,free,US,android,organic_search,treatment,task_triager,True,False,False
u_000213,Gemini,2025-12-01,free,IN,web,organic_search,treatment,task_triager,True,False,False
u_000214,Claude,2025-11-16,free,GB,android,social_media,control,casual_explorer,False,False,False
u_000215,Grok,2025-11-25,free,IN,web,social_media,control,casual_explorer,True,False,False
u_000216,ChatGPT,2026-02-09,free,IN,web,organic_search,control,casual_explorer,True,False,False
u_000217,Grok,2026-02-03,free,NG,ios,referral,treatment,casual_explorer,False,False,False
u_000218,Gemini,2026-03-17,free,IN,android,direct,control,task_triager,True,False,False
u_000219,Grok,2025-11-13,free,US,android,social_media,control,task_triager,False,False,False
u_000220,Grok,2025-12-04,pro,IN,ios,referral,treatment,task_triager,True,False,False
u_000221,Claude,2026-01-18,free,US,web,organic_search,control,casual_explorer,True,True,True
u_000222,ChatGPT,2025-12-01,team,IN,web,paid_ad,control,casual_explorer,True,False,False
u_000223,Claude,2025-12-05,free,BR,android,referral,treatment,casual_explorer,True,True,False
u_000224,ChatGPT,2025-12-26,free,IN,web,organic_search,treatment,power_user,True,True,False
u_000225,ChatGPT,2026-01-12,free,BR,web,organic_search,treatment,task_triager,True,False,False
u_000226,Grok,2026-01-01,free,NG,android,organic_search,control,power_user,True,False,False
u_000227,Gemini,2026-03-26,free,GB,web,organic_search,control,casual_explorer,False,False,False
u_000228,Grok,2026-02-10,free,GB,ios,organic_search,control,casual_explorer,False,False,False
u_000229,ChatGPT,2026-03-11,pro,DE,ios,social_media,control,casual_explorer,True,False,False
u_000230,ChatGPT,2026-01-01,free,BR,web,direct,control,power_user,True,True,True
u_000231,Gemini,2025-12-12,free,BR,web,paid_ad,treatment,casual_explorer,True,True,False
u_000232,ChatGPT,2026-02-18,free,US,ios,social_media,treatment,power_user,True,True,False
u_000233,ChatGPT,2025-11-27,pro,IN,web,social_media,treatment,casual_explorer,True,False,False
u_000234,Grok,2025-12-16,pro,US,web,social_media,treatment,casual_explorer,False,False,False
u_000235,Gemini,2026-01-09,pro,IN,web,paid_ad,treatment,casual_explorer,True,True,False
u_000236,Gemini,2026-01-19,free,GB,web,direct,control,casual_explorer,True,True,False
u_000237,Claude,2026-03-20,free,SG,web,referral,control,casual_explorer,True,True,False
u_000238,Gemini,2026-01-18,free,IN,android,paid_ad,control,casual_explorer,True,False,False
u_000239,ChatGPT,2026-02-04,free,DE,web,organic_search,treatment,casual_explorer,True,True,False
u_000240,Gemini,2026-02-09,free,IN,web,social_media,control,casual_explorer,True,True,False
u_000241,ChatGPT,2026-03-18,free,CA,web,direct,control,casual_explorer,False,False,False
u_000242,ChatGPT,2025-12-26,pro,DE,web,app_store,control,casual_explorer,True,False,False
u_000243,Claude,2026-02-12,pro,IN,web,direct,control,casual_explorer,True,False,False
u_000244,ChatGPT,2025-12-21,pro,IN,web,paid_ad,treatment,task_triager,True,True,False
u_000245,ChatGPT,2025-12-03,free,SG,web,direct,control,task_triager,False,False,False
u_000246,ChatGPT,2026-02-06,free,DE,web,organic_search,control,power_user,True,True,False
u_000247,ChatGPT,2026-03-21,free,US,android,referral,control,power_user,True,False,False
u_000248,Claude,2026-02-06,pro,US,web,organic_search,control,casual_explorer,False,False,False
u_000249,ChatGPT,2025-12-27,free,IN,web,organic_search,treatment,casual_explorer,True,True,False
u_000250,ChatGPT,2025-11-15,free,IN,web,social_media,treatment,casual_explorer,True,False,False
u_000251,Gemini,2026-01-31,pro,GB,ios,organic_search,treatment,power_user,False,False,False
u_000252,Grok,2026-03-07,free,GB,ios,social_media,control,casual_explorer,True,True,False
u_000253,Claude,2026-01-22,free,IN,ios,referral,treatment,power_user,True,True,False
u_000254,ChatGPT,2026-01-26,free,NG,ios,organic_search,control,power_user,False,False,False
u_000255,Grok,2026-01-31,free,BR,android,paid_ad,control,casual_explorer,False,False,False
u_000256,ChatGPT,2026-03-26,free,IN,ios,organic_search,treatment,task_triager,True,False,False
u_000257,Grok,2025-12-13,free,IN,web,referral,treatment,task_triager,False,False,False
u_000258,ChatGPT,2025-11-28,free,US,web,direct,control,power_user,True,True,False
u_000259,Gemini,2026-03-28,free,US,android,organic_search,control,casual_explorer,False,False,False
u_000260,Claude,2026-02-05,free,NG,android,direct,treatment,power_user,False,False,False
u_000261,ChatGPT,2025-12-13,free,GB,android,referral,control,casual_explorer,False,False,False
u_000262,Gemini,2026-01-16,free,US,web,organic_search,treatment,power_user,False,False,False
u_000263,Gemini,2026-03-03,free,US,web,referral,control,power_user,True,True,False
u_000264,Claude,2026-03-20,free,AU,ios,organic_search,control,casual_explorer,True,False,False
u_000265,Gemini,2025-11-25,free,CA,web,referral,treatment,casual_explorer,True,False,False
u_000266,Gemini,2026-03-02,free,GB,web,referral,control,casual_explorer,False,False,False
u_000267,Grok,2025-12-08,free,IN,web,app_store,treatment,casual_explorer,False,False,False
u_000268,ChatGPT,2025-12-08,pro,US,web,organic_search,treatment,task_triager,True,False,False
u_000269,ChatGPT,2025-11-04,pro,CA,android,paid_ad,control,casual_explorer,True,True,False
u_000270,ChatGPT,2025-11-26,pro,GB,web,organic_search,treatment,task_triager,True,False,False
u_000271,ChatGPT,2026-02-11,free,FR,web,direct,control,casual_explorer,False,False,False
u_000272,ChatGPT,2026-01-11,pro,BR,ios,social_media,treatment,task_triager,True,False,False
u_000273,Gemini,2025-11-23,free,AU,web,organic_search,treatment,task_triager,False,False,False
u_000274,ChatGPT,2026-03-10,free,IN,web,organic_search,treatment,casual_explorer,True,False,False
u_000275,ChatGPT,2025-12-21,free,IN,android,referral,treatment,casual_explorer,True,True,False
u_000276,ChatGPT,2025-12-12,pro,CA,web,organic_search,control,task_triager,True,True,False
u_000277,ChatGPT,2025-12-23,free,GB,web,organic_search,treatment,casual_explorer,True,True,False
u_000278,Gemini,2026-01-18,free,IN,web,referral,treatment,casual_explorer,False,False,False
u_000279,Gemini,2026-03-30,free,US,web,organic_search,treatment,task_triager,True,False,False
u_000280,Grok,2026-01-23,pro,FR,ios,direct,treatment,task_triager,True,True,False
u_000281,ChatGPT,2026-01-21,free,IN,ios,referral,treatment,task_triager,True,False,False
u_000282,Claude,2025-12-27,free,GB,web,social_media,treatment,casual_explorer,True,True,True
u_000283,Gemini,2026-03-24,free,US,ios,social_media,control,task_triager,True,False,False
u_000284,ChatGPT,2026-01-15,free,IN,web,referral,control,power_user,True,True,False
u_000285,ChatGPT,2026-02-14,free,US,web,direct,control,casual_explorer,True,False,False
u_000286,Gemini,2026-03-05,free,IN,ios,direct,control,casual_explorer,True,True,False
u_000287,Claude,2026-02-20,free,US,android,organic_search,control,task_triager,True,True,False
u_000288,Gemini,2026-01-03,free,SG,web,referral,control,casual_explorer,True,True,True
u_000289,ChatGPT,2026-02-20,pro,SG,web,organic_search,treatment,casual_explorer,True,True,False
u_000290,Gemini,2025-12-04,free,US,ios,direct,treatment,power_user,True,False,False
u_000291,Gemini,2025-11-13,free,US,web,referral,treatment,casual_explorer,True,False,False
u_000292,Gemini,2026-01-17,free,FR,web,referral,treatment,power_user,True,False,False
u_000293,ChatGPT,2025-11-28,free,US,web,referral,treatment,task_triager,False,False,False
u_000294,Grok,2026-03-04,free,DE,web,organic_search,treatment,power_user,False,False,False
u_000295,ChatGPT,2025-11-26,pro,FR,android,social_media,treatment,casual_explorer,True,True,False
u_000296,Gemini,2026-02-18,free,IN,web,social_media,treatment,power_user,True,False,False
u_000297,Gemini,2025-11-24,free,US,web,paid_ad,control,casual_explorer,True,False,False
u_000298,Claude,2025-12-04,free,DE,web,social_media,treatment,power_user,True,True,False
u_000299,ChatGPT,2025-11-08,pro,FR,web,organic_search,treatment,task_triager,True,False,False
u_000300,Gemini,2025-11-04,free,US,web,direct,treatment,task_triager,True,False,False
u_000301,Claude,2026-01-03,free,GB,web,paid_ad,control,task_triager,False,False,False
u_000302,ChatGPT,2026-03-01,pro,IN,web,referral,control,casual_explorer,True,False,False
u_000303,ChatGPT,2025-12-31,free,IN,web,organic_search,control,casual_explorer,True,True,False
u_000304,ChatGPT,2025-11-24,pro,US,web,direct,treatment,task_triager,True,False,False
u_000305,Gemini,2026-02-25,free,DE,web,social_media,treatment,casual_explorer,True,False,False
u_000306,Gemini,2026-01-14,free,US,web,organic_search,treatment,casual_explorer,True,False,False
u_000307,Claude,2026-02-09,free,DE,ios,organic_search,control,casual_explorer,False,False,False
u_000308,Grok,2026-02-26,free,US,web,paid_ad,control,casual_explorer,True,True,False
u_000309,Claude,2026-03-29,free,GB,ios,organic_search,treatment,casual_explorer,True,True,False
u_000310,ChatGPT,2026-01-27,team,US,ios,paid_ad,control,casual_explorer,True,False,False
u_000311,Gemini,2026-03-22,free,DE,android,social_media,control,task_triager,True,False,False
u_000312,Gemini,2026-01-22,free,DE,android,referral,treatment,casual_explorer,False,False,False
u_000313,Grok,2026-02-17,pro,IN,ios,organic_search,control,casual_explorer,False,False,False
u_000314,ChatGPT,2026-01-04,free,GB,ios,referral,treatment,power_user,True,True,False
u_000315,ChatGPT,2026-03-24,free,CA,ios,app_store,treatment,task_triager,True,True,False
u_000316,Claude,2026-01-04,free,US,ios,direct,control,task_triager,True,False,False
u_000317,Claude,2025-12-20,free,US,ios,organic_search,treatment,power_user,True,True,False
